name,price,link,image,category
mintra a Women's Cai Easy Wear Sneakers - Navy x Black, 450.00,https://www.jumia.com.eg/mintra-a-womens-cai-easy-wear-sneakers-navy-x-black-130113302.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/3311031/1.jpg?3254,shoes
mintra a Women's Cai Slip On Shoes - Black x Light Grey, 450.00,https://www.jumia.com.eg/mintra-a-womens-cai-slip-on-shoes-black-x-light-grey-130113296.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/2311031/1.jpg?3386,shoes
mintra a Women's Cai Slip On Shoes - Red x Blue, 450.00 -  575.00,https://www.jumia.com.eg/mintra-a-womens-cai-slip-on-shoes-red-x-blue-130113291.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/2311031/1.jpg?3249,shoes
Flat Casual Sneaker for Kids - Beige, 650.00,https://www.jumia.com.eg/generic-flat-casual-sneaker-for-kids-beige-130145474.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/4541031/1.jpg?5091,shoes
Puma Night Runner V3 Black White Shoes, 2648.00,https://www.jumia.com.eg/puma-night-runner-v3-black-white-shoes-131477619.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/6774131/1.jpg?8719,shoes
Nike W Court Vision Alta Ltr Womens Footwear, 3539.00,https://www.jumia.com.eg/nike-w-court-vision-alta-ltr-womens-footwear-129943015.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/0349921/6.jpg?8313,shoes
Nike W Court Vision Lo Nn Womens Footwear, 3124.00,https://www.jumia.com.eg/nike-w-court-vision-lo-nn-womens-footwear-129943010.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/0349921/4.jpg?4187,shoes
Toobaco Women's Casual Leather Sneakers - Stylish and Comfortable Footwear, 295.00,https://www.jumia.com.eg/toobaco-womens-casual-leather-sneakers-stylish-and-comfortable-footwear-25324663.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/642352/1.jpg?4432,shoes
Nike W Air Zoom Structure 24 Laced Shoes - BLACK - GREEN, 3196.00,https://www.jumia.com.eg/nike-w-air-zoom-structure-24-laced-shoes-black-green-91950390.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/305919/1.jpg?5079,shoes
mintra a Women's Cai Slip On Shoes - White X Turquoise, 450.00,https://www.jumia.com.eg/mintra-a-womens-cai-slip-on-shoes-white-x-turquoise-130113290.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/2311031/1.jpg?3226,shoes
Reebok Energen Lux Sneakers - Beige, 2171.00,https://www.jumia.com.eg/reebok-energen-lux-sneakers-beige-130977831.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/8779031/1.jpg?2340,shoes
Toobaco Women Canvas Casual Sneakers, 165.00,https://www.jumia.com.eg/casual-women-sneakers-cloth-toobaco-mpg943352.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/133984/1.jpg?4910,shoes
Nike W Revolution 7 Womens Footwear, 2566.00,https://www.jumia.com.eg/nike-w-revolution-7-womens-footwear-129943031.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/0349921/6.jpg?5289,shoes
Nike Wmns Court Royale 2 Nn Women's Footwear, 3096.00,https://www.jumia.com.eg/nike-wmns-court-royale-2-nn-womens-footwear-129943014.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/0349921/6.jpg?1256,shoes
Nike Women Court Royale 2 Nn Laced Shoes - White, 3096.00,https://www.jumia.com.eg/nike-women-court-royale-2-nn-laced-shoes-white-91942127.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/124919/3.jpg?7134,shoes
Puma Smash Wns V2 L Black Shoes - Stylish and Comfortable Footwear, 2166.00,https://www.jumia.com.eg/puma-smash-wns-v2-l-black-shoes-stylish-and-comfortable-footwear-131477635.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/6774131/2.jpg?2800,shoes
Puma Night Runner V3 Black Black Shoes, 2648.00,https://www.jumia.com.eg/puma-night-runner-v3-black-black-shoes-131477620.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/6774131/1.jpg?7633,shoes
Reebok Lite 4 Sneakers - Grey, 2171.00,https://www.jumia.com.eg/reebok-lite-4-sneakers-grey-130977817.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/8779031/1.jpg?2485,shoes
Nike W Downshifter 13 Womens Footwear, 2654.00,https://www.jumia.com.eg/nike-w-downshifter-13-womens-footwear-129943038.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/0349921/2.jpg?5386,shoes
Lace Up Sneakers Painted – For Women, 299.00,https://www.jumia.com.eg/generic-lace-up-sneakers-painted-for-women-45017267.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/271054/1.jpg?3867,shoes
Reebok Flexagon Energy Tr 4 Sneakers - White, 2326.00,https://www.jumia.com.eg/reebok-flexagon-energy-tr-4-sneakers-white-130977806.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/8779031/1.jpg?2456,shoes
ADIDAS IDAS Deportivo III Flexible Ground Boots Kids - core black, 855.00,https://www.jumia.com.eg/adidas-idas-deportivo-iii-flexible-ground-boots-kids-core-black-130079937.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/9970031/1.jpg?3866,shoes
Reebok Court Cln Sneakers - Beige, 2364.00,https://www.jumia.com.eg/reebok-court-cln-sneakers-beige-130977826.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/8779031/1.jpg?2469,shoes
Puma Caven 2.0 Jr Black & Cool Dark Grey Sneakers, 2291.00,https://www.jumia.com.eg/puma-caven-2.0-jr-black-cool-dark-grey-sneakers-128945143.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/1549821/1.jpg?9650,shoes
mintra a Women's Cai Wire Easy Wear Sneakers - Blue x Lemon, 575.00,https://www.jumia.com.eg/mintra-a-womens-cai-wire-easy-wear-sneakers-blue-x-lemon-130113278.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/2311031/1.jpg?3434,shoes
Toobaco Women Casual Leather Sneakers, 171.50,https://www.jumia.com.eg/casual-women-sneakers-leather-toobaco-mpg943362.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/231442/1.jpg?0966,shoes
Toobaco Women Canvas Casual Sneakers, 165.00,https://www.jumia.com.eg/women-canvas-casual-sneakers-toobaco-mpg943353.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/594032/1.jpg?2155,shoes
Nox Women's Ballerina Gorgeous Design - Black, 285.00,https://www.jumia.com.eg/generic-nox-womens-ballerina-gorgeous-design-black-61603136.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/130616/1.jpg?2128,shoes
Women's classic shoes - leather with a 3 cm heels - Black, 375.00,https://www.jumia.com.eg/generic-womens-classic-shoes-leather-with-a-3-cm-heels-black-49090742.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/709094/1.jpg?1041,shoes
y Leather Classic Shoes - 5 Cm Heel - Black, 375.00,https://www.jumia.com.eg/generic-y-leather-classic-shoes-5-cm-heel-black-24670643.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/607642/1.jpg?6420,shoes
ADIDAS IDAS LUT47 Adilette Comfort Swim Sandals/Slippers - Core Black, 1069.00 -  1072.00,https://www.jumia.com.eg/adidas-idas-lut47-adilette-comfort-swim-sandalsslippers-core-black-51878598.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/587815/1.jpg?1358,shoes
Tito Fashion - Slia Flat Sandal - Beige, 373.00,https://www.jumia.com.eg/generic-tito-fashion-slia-flat-sandal-beige-103914920.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/9419301/1.jpg?6938,shoes
